Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI
Babi,Male,23.0,. Non-profit or Government Agency,Yes,200.0,40.0,50.0,40.0,12.0,10.0,0.0,20.0,Yes,No,0.0,185.0,90.0,0.0,5000.0,26.296566837107374
Babi,Female,25.0,. Large Corporation,Yes,900.0,150.0,10.0,50.0,8.0,10.5,35.0,0.0,Yes,Yes,0.0,161.0,64.0,2900.0,5400.0,24.690405462752206
Babi,Male,25.0,. Small Company,No,900.0,145.0,20.0,80.0,7.0,10.0,20.0,40.0,Yes,Yes,2.0,178.0,80.0,0.0,4000.0,25.24933720489837
Babi,Male,24.0,. Small Company,Yes,300.0,50.0,200.0,250.0,5.0,8.0,40.0,40.0,Yes,Yes,3.0,170.0,83.0,2316.0,5000.0,28.719723183391007
Bmgt,Male,25.0,. Small Company,No,300.0,250.0,100.0,50.0,7.0,8.0,12.0,40.0,Yes,Yes,4.0,175.0,80.0,2500.0,4000.0,26.122448979591837
Babi,Female,30.0,. Small Company,Yes,300.0,150.0,50.0,50.0,7.0,7.0,8.0,40.0,Yes,Yes,1.0,160.0,52.0,3500.0,5000.0,20.312499999999996
Babi,Male,26.0,. Large Corporation,No,2.0,0.0,200.0,60.0,8.0,15.0,35.0,40.0,Yes,Yes,1.0,183.0,86.0,3600.0,4000.0,25.680074054167036
Babi,Male,28.0,. Other,No,2400.0,40.0,200.0,60.0,8.0,2.0,0.0,8.0,Yes,No,5.0,170.0,77.0,4200.0,4200.0,26.643598615916957
Babi,Male,27.0,. Large Corporation,No,2700.0,40.0,40.0,60.0,7.5,8.0,12.0,40.0,Yes,Yes,1.0,180.0,77.0,3750.0,4500.0,23.76543209876543
Babi,Female,30.0,. Large Corporation,No,2000.0,125.0,200.0,100.0,8.0,4.0,5.0,40.0,Yes,Yes,0.0,180.0,62.0,4500.0,5500.0,19.1358024691358
Babi,Female,31.0,. Large Corporation,No,1500.0,10.0,300.0,43.0,8.0,8.0,10.0,40.0,Yes,Yes,1.0,162.0,55.0,4000.0,5000.0,20.957171162932475
Babi,Male,25.0,. Large Corporation,Yes,400.0,450.0,50.0,80.0,6.0,15.0,0.0,40.0,Yes,Yes,1.0,178.0,73.0,4000.0,5800.0,23.04002019946976
Babi,Male,27.0,. Large Corporation,Yes,1500.0,0.0,300.0,60.0,7.5,0.0,4.0,12.0,Yes,No,0.0,179.0,70.0,0.0,4000.0,21.847008520333322
Babi,Male,29.0,. Small Company,Yes,500.0,100.0,60.0,33.0,7.0,8.0,8.0,32.0,No,Yes,1.0,165.0,54.0,1800.0,3800.0,19.834710743801654
Babi,Female,35.0,. Large Corporation,No,2300.0,90.0,200.0,45.0,7.0,2.0,5.0,24.0,Yes,No,0.0,158.0,65.0,2000.0,5000.0,26.037493991347535
Babi,Female,33.0,. Small Company,No,1000.0,100.0,300.0,65.0,7.0,10.0,10.0,40.0,Yes,Yes,1.0,164.0,54.0,4042.0,4041.0,20.077334919690664
Babi,Male,25.0,. Large Corporation,No,1600.0,80.0,600.0,95.0,6.75,5.0,12.0,45.0,Yes,Yes,2.0,180.0,79.0,3900.0,4500.0,24.382716049382715
Bmgt,Male,24.0,. Small Company,Yes,300.0,200.0,300.0,244.0,5.0,1.0,40.0,40.0,Yes,Yes,4.0,170.0,73.0,2316.0,5000.0,25.25951557093426
Babi,Female,35.0,. Small Company,No,2000.0,100.0,300.0,50.0,7.0,8.0,12.0,20.0,Yes,Yes,0.0,158.0,65.0,1500.0,3000.0,26.037493991347535
Babi,Male,22.0,. Large Corporation,No,2000.0,0.0,400.0,67.0,7.5,8.0,3.0,40.0,No,Yes,2.0,178.0,75.0,5500.0,7000.0,23.671253629592222
Babi,Male,26.0,. Non-profit or Government Agency,Yes,200.0,200.0,50.0,55.0,7.0,9.0,5.0,37.5,Yes,Yes,1.5,181.0,96.0,4800.0,5500.0,29.303134824944294
Babi,Female,34.0,. Small Company,No,2500.0,175.0,60.0,50.0,7.0,8.0,12.0,0.0,Yes,No,1.0,150.0,64.0,0.0,3000.0,28.444444444444443
Babi,Male,27.0,. Small Company,No,2500.0,35.0,25.0,110.0,9.0,10.0,5.0,37.0,Yes,Yes,0.0,181.0,80.0,5000.0,7000.0,24.41927902078691
Babi,Male,28.0,. Large Corporation,No,2500.0,100.0,10.0,60.0,6.0,6.0,4.0,45.0,Yes,Yes,2.0,168.0,67.0,0.0,6666.0,23.738662131519277
Babi,Female,34.0,. Non-profit or Government Agency,Yes,400.0,20.0,20.0,50.0,6.0,0.5,25.0,40.0,Yes,Yes,1.0,152.0,47.0,4600.0,5400.0,20.342797783933516
Babi,Female,29.0,. Large Corporation,No,2000.0,70.0,400.0,35.0,8.0,5.0,8.0,40.0,Yes,Yes,1.0,163.0,50.0,3500.0,4000.0,18.818924310286427
Babi,Female,27.0,. Small Company,No,1200.0,20.0,200.0,60.0,7.0,7.0,3.0,40.0,Yes,No,2.0,170.0,65.0,4300.0,5300.0,22.49134948096886
Babi,Female,32.0,. Non-profit or Government Agency,No,,60.0,40.0,75.0,7.0,1.0,8.0,35.0,Yes,No,1.0,180.0,54.0,3400.0,4000.0,16.666666666666664
Babi,Female,23.0,. Other,No,500.0,20.0,50.0,50.0,9.0,20.0,5.0,40.0,Yes,No,1.0,165.0,50.0,1000.0,5000.0,18.36547291092746
Babi,Male,25.0,. Large Corporation,No,1300.0,70.0,150.0,45.0,8.0,3.0,20.0,40.0,Yes,Yes,1.0,173.0,66.0,4600.0,6600.0,22.052190183434128
Babi,Female,30.0,. Large Corporation,No,1000.0,30.0,200.0,51.0,7.0,8.0,15.0,40.0,Yes,Yes,1.0,163.0,61.0,2800.0,5000.0,22.95908765854944
Bitman,Male,23.0,. Small Company,Yes,200.0,250.0,200.0,50.0,8.0,2.0,2.0,20.0,No,No,0.0,180.4,86.18,3800.0,4000.0,26.480941588291113
Bitman,Male,21.0,. Large Corporation,Yes,800.0,150.0,200.0,80.0,8.0,6.0,20.0,20.0,Yes,No,0.0,188.0,100.0,2200.0,4000.0,28.293345405160707
Babi,Female,25.0,. Large Corporation,No,2000.0,30.0,100.0,75.0,7.0,7.0,7.0,37.5,Yes,Yes,1.0,166.0,65.0,2400.0,4000.0,23.588329220496444
Babi,Female,29.0,. Large Corporation,No,3.0,50.0,100.0,100.0,7.0,8.0,20.0,10.0,Yes,No,2.0,170.0,58.0,3400.0,4000.0,20.06920415224914
Babi,Female,30.0,. Large Corporation,No,400.0,16.0,20.0,64.0,8.0,2.0,1.0,0.0,Yes,No,2.0,157.0,68.0,1400.0,3000.0,27.587326057852245
Babi,Female,37.0,. Large Corporation,No,4000.0,50.0,20.0,55.0,6.0,3.0,3.0,40.0,Yes,Yes,1.0,172.72,56.36,4000.0,5000.0,18.892338822739926
Babi,Female,38.0,. Non-profit or Government Agency,No,2500.0,100.0,200.0,65.0,6.0,7.0,10.0,40.0,Yes,Yes,2.0,157.0,44.0,6000.0,7000.0,17.85062274331616
Babi,Male,25.0,. Small Company,No,2700.0,15.0,200.0,47.0,7.0,7.0,10.0,50.0,Yes,Yes,1.0,175.0,77.0,5833.0,8600.0,25.142857142857142
Babi,Female,26.0,. Small Company,Yes,0.0,50.0,30.0,82.0,6.0,49.0,30.0,20.0,Yes,No,0.0,162.0,68.0,1200.0,3750.0,25.910684346898332
Babi,Male,25.0,. Small Company,Yes,150.0,50.0,100.0,35.0,7.0,10.0,5.0,28.0,Yes,No,0.0,164.0,47.0,0.0,5500.0,17.474717430101133
Babi,Female,26.0,. Non-profit or Government Agency,No,2400.0,30.0,150.0,62.0,7.0,4.0,10.0,45.0,Yes,No,0.0,163.0,68.0,4300.0,5000.0,25.59373706198954
